name,team_name,weight,height_inches,birth_date,birth_place,teams,player_id,total_games,games_started,minutes_played,fg3,fg2,fg,fg3a,fg2a,fg3p,fg2p,ft,fta,ftp,orb,drb,trb,ast,stl,blk,tov,pts
Tom Tolbert,Retired,235.0,79.0,1965-10-16,"Long Beach, California","[10, 22, 13]",4252,44.57142857142857,17.142857142857142,811.4285714285714,0.42857142857142855,8.857142857142858,4.571428571428571,0.9714285714285714,9.700000000000001,0.22242857142857142,0.4551428571428571,2.5714285714285716,3.757142857142857,0.7104285714285714,2.6285714285714286,5.185714285714285,7.814285714285715,1.8571428571428572,0.6571428571428571,0.6857142857142857,1.9428571428571428,11.87142857142857
Anthony Tolliver,Sacramento Kings,240.0,80.0,1985-06-01,"Springfield, Missouri","[9, 18, 26, 4, 1, 10, 25, 24, 27]",4253,58.833333333333336,8.416666666666666,1155.1666666666667,6.225,3.033333333333333,3.591666666666667,5.891666666666667,3.125,0.34958333333333336,0.4870833333333333,1.5666666666666667,2.058333333333333,0.7395833333333334,1.4416666666666667,4.808333333333334,6.258333333333333,1.7083333333333333,0.6916666666666668,0.525,1.1916666666666667,10.808333333333332
Rudy Tomjanovich,Retired,218.0,80.0,1948-11-24,"Hamtramck, Michigan",[],4255,57.0,27.5,1549.0,1.0499999999999998,13.899999999999999,7.4,1.55,14.149999999999999,0.2565,0.494,2.0999999999999996,2.5999999999999996,0.798,2.4000000000000004,4.050000000000001,6.45,2.2,0.55,0.2,1.7999999999999998,17.25
Andrew Toney,Retired,178.0,75.0,1957-11-23,"Birmingham, Alabama",[],4256,58.5,35.375,1576.0,1.1624999999999999,13.924999999999999,7.35,1.2625,14.45,0.296375,0.477625,4.0625,5.3375,0.74,0.6875,2.15,2.8,5.775,0.9875,0.2625,3.8,19.175
Sedric Toney,Retired,178.0,74.0,1962-04-13,"Columbus, Mississippi","[1, 26, 20, 6, 24, 12]",4257,22.4,1.8,282.0,1.62,6.2,3.62,4.0200000000000005,7.76,0.2044,0.3882,1.9,3.18,0.6786000000000001,1.28,2.3,3.5799999999999996,4.6,0.8799999999999999,0.06,4.0,9.7
Andy Toolson,Retired,210.0,78.0,1966-01-19,"Chicago, Illinois",[],4259,30.0,7.5,261.5,4.35,6.3,4.6,5.35,6.9,0.3125,0.4565,1.95,2.6,0.754,1.25,3.4,4.6,1.5499999999999998,0.55,0.1,1.6,12.7
Bernard Toone,Retired,210.0,81.0,1956-07-14,"Yonkers, New York",[],4261,23.0,11.0,124.0,0.8999999999999999,12.8,6.7,2.0,16.5,0.143,0.386,2.3,2.9,0.8,3.5,6.4,9.9,3.5,1.2,1.5,4.6,16.0
Óscar Torres,Retired,210.0,78.0,1976-12-18,"Caracas, Venezuela","[11, 10]",4264,41.0,6.5,592.0,5.25,6.3,4.9,4.25,7.4,0.41600000000000004,0.4235,3.65,5.05,0.7404999999999999,1.3,2.75,4.05,1.15,1.05,0.5,2.1,15.25
Juan Toscano-Anderson,Golden State Warriors,215.0,78.0,1993-04-10,"Oakland, California",[10],4265,4.0,0.0,72.0,3.0,8.0,5.0,2.0,7.0,0.5,0.571,0.0,0.0,0.0,0.5,6.0,6.5,4.0,2.5,0.5,2.5,11.0
Axel Toupane,Retired,197.0,79.0,1992-07-23,"Mulhouse, France","[8, 17]",4268,12.5,0.0,176.0,3.4499999999999997,4.5,3.4,3.9000000000000004,3.65,0.2875,0.6000000000000001,0.75,1.0,0.3825,0.45,1.75,2.25,0.9,0.8,0.75,0.35,8.7
Keith Tower,Retired,250.0,83.0,1970-05-15,"Libby, Montana","[13, 22, 17]",4270,13.25,0.5,104.0,0.0,4.9,2.45,0.025,8.2,0.0,0.3175,1.9249999999999998,4.35,0.32925,2.175,6.0,8.175,0.55,0.375,0.45,2.0,6.824999999999999
Linton Townes,Retired,190.0,79.0,1959-11-30,"Richmond, Virginia","[25, 17, 27]",4272,20.0,0.0,181.0,0.6,9.533333333333333,4.966666666666666,0.5666666666666667,18.933333333333334,0.12,0.3196666666666667,3.6666666666666665,3.9,0.5790000000000001,2.1999999999999997,1.4333333333333333,3.6333333333333333,1.3666666666666665,1.0666666666666667,1.3666666666666665,1.3999999999999997,13.799999999999999
Karl-Anthony Towns,Minnesota Timberwolves,248.0,83.0,1995-11-15,"Edison, New Jersey",[18],4273,71.6,71.6,2461.4,5.16,14.639999999999997,9.040000000000001,4.279999999999999,12.78,0.3882,0.5748,4.4799999999999995,5.4399999999999995,0.8266,3.22,8.98,12.26,3.12,0.8400000000000001,1.52,2.7399999999999998,24.26
Raymond Townsend,Retired,175.0,75.0,1955-12-20,"San Jose, California","[10, 12]",4274,44.5,18.5,627.0,1.35,8.6,4.75,2.1,12.2,0.188,0.352,3.05,5.1,0.632,0.9,2.95,3.85,3.7,1.5,0.05,2.15,12.95
Robert Traylor,Retired,284.0,80.0,1977-02-01,"Detroit, Michigan","[6, 19, 17]",4277,62.57142857142857,10.428571428571429,891.8571428571429,0.08571428571428572,9.62857142857143,4.814285714285715,0.14285714285714285,10.057142857142859,0.24757142857142858,0.48000000000000004,2.442857142857143,4.185714285714286,0.581857142857143,3.914285714285714,5.614285714285714,9.5,1.8000000000000003,1.6714285714285713,1.8142857142857143,2.2857142857142856,12.1
Gary Trent,Retired,250.0,80.0,1974-09-22,"Columbus, Ohio","[18, 25, 7, 28]",4278,56.22222222222222,14.444444444444445,1096.2222222222222,0.03333333333333333,13.244444444444445,6.633333333333334,0.17777777777777778,13.3,0.037000000000000005,0.49988888888888894,2.5999999999999996,4.177777777777778,0.6212222222222222,3.1333333333333333,5.155555555555555,8.277777777777779,1.8444444444444446,0.8666666666666667,0.6444444444444444,2.2444444444444445,15.899999999999999
Gary Trent Jr.,Portland Trail Blazers,209.0,77.0,1999-01-18,"Columbus, Ohio",[25],4279,29.0,1.5,439.0,6.8999999999999995,5.6,5.1,7.05,6.85,0.321,0.426,0.95,1.65,0.667,0.55,2.75,3.35,1.7000000000000002,0.85,0.55,0.95,13.4
Jeff Trepagnier,Retired,200.0,76.0,1979-07-11,"Los Angeles, California","[8, 6]",4280,10.333333333333334,0.0,90.0,2.2,7.3999999999999995,4.433333333333334,1.6666666666666667,11.633333333333333,0.3333333333333333,0.3196666666666667,1.8666666666666665,2.733333333333333,0.6903333333333332,2.233333333333333,3.533333333333333,5.7,3.1,2.6,0.6333333333333333,3.4666666666666663,11.5
Allonzo Trier,New York Knicks,200.0,76.0,1996-01-17,"Seattle, Washington",[20],4282,42.0,2.0,852.5,5.25,7.6000000000000005,5.550000000000001,5.0,7.6,0.36,0.515,4.45,5.6,0.799,0.7,3.65,4.35,3.2,0.5,0.44999999999999996,2.9,17.35
Kelly Tripucka,Retired,220.0,78.0,1959-02-16,"Glen Ridge, New Jersey","[9, 29]",4284,70.7,57.5,2095.9,1.0499999999999998,14.02,7.33,0.9400000000000001,14.669999999999998,0.3442,0.47640000000000005,5.07,5.9399999999999995,0.8596999999999999,1.51,3.0900000000000003,4.62,3.6700000000000004,1.1700000000000002,0.22999999999999998,2.8600000000000003,20.1
Cezary Trybański,Retired,240.0,86.0,1979-09-22,"Warsaw, Poland","[15, 24, 20]",4286,11.0,0.0,50.5,0.0,2.1,1.05,0.0,9.0,0.0,0.125,2.05,4.5,0.45,1.25,2.8499999999999996,4.15,0.2,1.2,2.45,4.05,4.15
Jake Tsakalidis,Retired,285.0,86.0,1979-06-10,"Rustavi, Georgia","[24, 15, 11]",4287,45.0,24.0,715.0,0.0,8.085714285714287,4.042857142857143,0.0,8.328571428571427,0.0,0.48728571428571427,2.3714285714285714,3.6,0.6647142857142858,3.1571428571428575,5.6571428571428575,8.814285714285715,0.8142857142857143,0.5285714285714286,1.5857142857142859,1.9000000000000001,10.514285714285714
Nikoloz Tskitishvili,Retired,225.0,84.0,1983-04-14,"Tbilisi, Georgia","[8, 10, 24, 18]",4290,43.0,4.0,486.5,1.5749999999999997,7.050000000000001,4.025,2.3249999999999997,10.325,0.24175000000000002,0.34025,2.0,2.85,0.68625,2.45,4.3,6.75,1.6,0.8,1.05,2.4,10.575
Alando Tucker,Retired,205.0,78.0,1984-02-11,"Lockport, Illinois","[24, 18]",4292,17.0,0.3333333333333333,142.0,2.0999999999999996,11.200000000000001,6.333333333333333,2.8333333333333335,12.666666666666666,0.247,0.446,4.333333333333333,5.533333333333334,0.7943333333333333,2.5666666666666664,2.0,4.566666666666666,1.0,0.19999999999999998,0.26666666666666666,1.2333333333333334,17.733333333333334
Anthony Tucker,Retired,220.0,80.0,1969-04-04,"Washington, District of Columbia",[],4293,62.0,13.0,982.0,0.0,7.0,3.5,0.0,7.7,0.0,0.459,1.9,3.0,0.614,1.6,4.6,6.2,2.5,1.7,0.4,2.1,8.9
P.J. Tucker,Houston Rockets,245.0,77.0,1985-05-05,"Raleigh, North Carolina","[24, 11, 28]",4295,70.77777777777777,51.22222222222222,2071.3333333333335,3.4000000000000004,4.688888888888889,3.466666666666667,3.1222222222222222,4.833333333333333,0.31766666666666665,0.4803333333333334,1.4666666666666666,2.088888888888889,0.7323333333333334,2.2444444444444445,5.222222222222222,7.477777777777778,1.7111111111111112,1.4222222222222223,0.3222222222222222,1.4111111111111112,9.511111111111111
Rayjon Tucker,Utah Jazz,210.0,77.0,1997-09-24,"Charlotte, North Carolina",[29],4296,12.0,0.0,74.0,0.0,7.8,3.9,2.9,6.3,0.0,0.615,1.5,2.4,0.6,1.0,4.4,5.4,1.0,0.5,0.0,1.5,9.2
Trent Tucker,Retired,193.0,77.0,1959-12-20,"Tarboro, North Carolina","[20, 5, 27]",4297,68.72727272727273,18.818181818181817,1424.6363636363637,4.1454545454545455,9.036363636363635,5.909090909090909,3.4,9.381818181818183,0.4117272727272727,0.4831818181818182,1.0727272727272728,1.4272727272727275,0.7535454545454545,1.1090909090909091,2.3363636363636364,3.4272727272727277,3.409090909090909,1.5454545454545454,0.21818181818181817,1.3454545454545455,14.263636363636364
Ronny Turiaf,Retired,249.0,82.0,1983-01-13,"Le Robert, Martinique","[14, 10, 13, 20, 18, 16, 30]",4298,47.3,10.5,802.0,0.0,6.460000000000001,3.2299999999999995,0.02,5.96,0.0,0.4953,1.94,3.29,0.5235000000000001,2.2,5.37,7.55,2.55,0.8,2.2600000000000002,1.46,8.41
Mirsad Türkcan,Retired,236.0,81.0,1976-06-07,"Novi Pazar, Serbia","[17, 20]",4299,17.0,0.0,90.0,0.0,11.2,5.6,2.4,12.8,0.0,0.438,2.0,3.2,0.625,5.2,8.0,13.2,2.0,1.2,0.4,3.2,13.2
Hedo Türkoğlu,Retired,220.0,82.0,1979-03-19,"Istanbul, Turkey","[22, 26, 13, 27, 28, 24]",4300,66.46666666666667,38.06666666666667,1779.6666666666667,4.879999999999999,6.480000000000001,4.866666666666666,4.413333333333333,7.306666666666667,0.3642,0.4428,2.3866666666666663,3.1199999999999997,0.7218666666666667,0.8866666666666667,4.633333333333334,5.506666666666666,3.6,1.0799999999999998,0.44666666666666666,2.033333333333333,13.693333333333333
Andre Turner,Retired,160.0,71.0,1964-12-13,"Memphis, Tennessee","[23, 11, 17, 2, 13]",4301,28.333333333333332,0.6666666666666666,420.5,0.35,9.4,4.833333333333333,1.0999999999999999,10.800000000000002,0.09499999999999999,0.4346666666666667,1.5,1.9666666666666668,0.5403333333333333,1.0666666666666667,3.1833333333333336,4.216666666666667,5.483333333333333,2.4166666666666665,0.08333333333333333,5.866666666666667,11.266666666666666
Elston Turner,Retired,190.0,77.0,1959-06-10,"Knoxville, Tennessee","[8, 7, 5]",4303,63.125,12.125,1125.75,0.07500000000000001,7.9,3.975,0.1875,9.675,0.1695,0.41125,1.0875,1.5125,0.69325,2.3,2.9875,5.3125,3.6875,1.9,0.1,2.05,9.0625
Evan Turner,Minnesota Timberwolves,220.0,78.0,1988-10-27,"Chicago, Illinois","[23, 25, 2, 12, 1]",4304,70.5,29.5,1893.8,1.29,9.139999999999999,5.029999999999999,1.6199999999999999,10.05,0.2539,0.4565,1.9300000000000002,2.4699999999999998,0.7856,0.76,5.41,6.1899999999999995,4.75,1.03,0.42000000000000004,2.5100000000000002,12.440000000000001
Henry Turner,Retired,200.0,79.0,1966-08-18,"Oakland, California",[],4306,33.0,0.5,232.0,0.75,11.7,6.1,0.75,13.1,0.2,0.4455,4.699999999999999,7.95,0.593,3.3,2.95,6.25,2.1,1.9,0.5,2.95,17.1
Jeff Turner,Retired,230.0,81.0,1962-04-09,"Bangor, Maine","[22, 3]",4310,61.2,23.5,1124.4,1.2600000000000002,8.66,4.76,1.25,9.209999999999999,0.2333,0.46340000000000003,1.7100000000000002,2.21,0.8039,2.0,4.4799999999999995,6.4799999999999995,1.9100000000000001,0.7,0.28,2.19,11.64
John Turner,Retired,245.0,80.0,1967-11-30,"Washington, District of Columbia",[],4311,42.0,0.0,345.0,0.0,9.0,4.5,0.0,10.2,0.0,0.439,3.2,6.2,0.525,4.0,4.2,8.1,1.3,0.6,0.4,3.3,12.2
Myles Turner,Indiana Pacers,250.0,83.0,1996-03-24,"Bedford, Texas",[12],4312,65.0,58.4,1834.2,2.9400000000000004,10.44,6.2,2.7199999999999998,10.0,0.33019999999999994,0.5242,2.8,3.66,0.7626000000000001,1.7399999999999998,6.659999999999999,8.36,1.56,0.86,2.5599999999999996,1.72,16.1
Wayne Turner,Retired,190.0,74.0,1976-03-22,"Boston, Massachusetts",[],4313,3.0,0.0,41.0,0.0,1.8,0.9,0.0,5.3,0.0,0.167,1.8,5.3,0.333,0.9,1.8,2.6,4.4,0.0,0.0,2.6,3.5
Melvin Turpin,Retired,240.0,83.0,1960-12-28,"Lexington, Kentucky","[6, 29]",4314,72.2,25.4,1374.2,0.0,13.36,6.68,0.06000000000000001,13.079999999999998,0.0666,0.5128,2.48,3.2600000000000002,0.7644,3.12,5.68,8.72,1.08,0.76,1.92,2.32,15.819999999999999
Dave Twardzik,Retired,175.0,73.0,1950-09-20,"Hershey, Pennsylvania",[25],4315,67.0,33.0,1594.0,0.30000000000000004,8.0,4.1,0.2,8.7,0.571,0.463,4.4,5.7,0.782,1.2,2.3,3.5,6.2,1.7,0.0,3.0,12.8
