team_name,pts,fg3,fg2,fg,fg3a,fg2a,fg3p,fg2p,ft,fta,ftp,orb,drb,trb,ast,stl,blk,tov,color,short_team_names,legend
Houston Rockets,14.113333333333333,5.94,6.053333333333333,4.986666666666666,6.746666666666667,5.34,0.2534,0.5488666666666667,2.1466666666666665,2.8266666666666667,0.6646666666666667,1.4466666666666665,4.753333333333333,6.206666666666666,2.566666666666667,1.2600000000000002,0.7799999999999999,1.9066666666666667,#CE1141,HOU,HOU - Houston Rockets
Indiana Pacers,14.476470588235294,3.7941176470588225,8.92941176470588,5.723529411764706,4.158823529411765,8.723529411764707,0.27188235294117646,0.5229411764705882,1.7823529411764707,2.3705882352941177,0.6527058823529411,1.4705882352941178,4.852941176470588,6.329411764705882,3.3823529411764706,0.9117647058823529,0.9352941176470588,1.6294117647058823,#002D62,IND,IND - Indiana Pacers
Los Angeles Clippers,17.726666666666667,5.9799999999999995,8.826666666666666,6.413333333333333,5.24,8.333333333333334,0.3481333333333333,0.5165333333333334,2.9,3.6666666666666665,0.7253333333333334,1.6066666666666667,5.513333333333334,7.166666666666667,3.4,1.0933333333333335,0.6866666666666668,2.086666666666667,#C8102E,LAC,LAC - Los Angeles Clippers
Los Angeles Lakers,13.386666666666667,4.42,7.186666666666667,5.086666666666667,4.506666666666666,6.593333333333334,0.34659999999999996,0.449,1.7333333333333334,2.4266666666666667,0.639,1.3066666666666664,4.739999999999999,6.046666666666667,4.413333333333333,1.5266666666666668,0.7866666666666666,1.7,#552583,LAL,LAL - Los Angeles Lakers
Memphis Grizzlies,15.38125,3.8625000000000003,9.1625,5.875,3.8874999999999997,8.575,0.313125,0.54925,2.33125,3.11875,0.7633125000000001,1.6125,5.5625,7.1625,3.6625,1.05625,0.85,2.13125,#5D76A9,MEM,MEM - Memphis Grizzlies
Miami Heat,14.176470588235293,5.523529411764706,6.08235294117647,4.870588235294117,5.629411764705883,5.529411764705882,0.2652941176470588,0.5481176470588235,2.5941176470588236,3.4647058823529413,0.6418235294117647,1.311764705882353,5.464705882352941,6.770588235294118,3.0352941176470587,1.0941176470588236,0.6,1.6470588235294117,#98002E,MIA,MIA - Miami Heat
Milwaukee Bucks,15.98125,5.71875,7.85,5.8375,5.6625,7.21875,0.3240625,0.5215,2.41875,3.5,0.737625,1.56875,5.5,7.0562499999999995,3.85,1.125,0.79375,2.0375,#00471B,MIL,MIL - Milwaukee Bucks
Minnesota Timberwolves,14.81764705882353,5.6117647058823525,7.117647058823529,5.417647058823529,5.729411764705882,7.2176470588235295,0.28611764705882353,0.4978823529411765,2.158823529411765,2.7705882352941176,0.7688823529411765,1.4176470588235293,4.523529411764706,5.947058823529411,3.1470588235294117,1.1529411764705884,0.8058823529411764,2.2588235294117647,#0C2340,MIN,MIN - Minnesota Timberwolves
New Orleans Pelicans,15.48125,4.8375,8.4,5.80625,4.4875,7.86875,0.306625,0.5216875,2.26875,3.2249999999999996,0.59325,1.9125,5.1125,7.00625,3.43125,0.9,0.78125,2.71875,#0C2340,NOP,NOP - New Orleans Pelicans
New York Knicks,13.86875,4.143750000000001,7.7125,5.2375,4.53125,7.9125,0.2813125,0.4886875,1.975,2.90625,0.6926875,1.54375,4.34375,5.8875,3.46875,1.13125,0.675,1.99375,#006BB6,NYK,NYK - New York Knicks
Oklahoma City Thunder,12.713333333333333,3.8200000000000003,6.840000000000001,4.673333333333333,4.58,7.7266666666666675,0.2756,0.4683333333333334,2.086666666666667,2.6666666666666665,0.6531333333333333,1.0666666666666667,4.653333333333333,5.733333333333333,2.433333333333333,0.9333333333333333,0.7133333333333333,1.5066666666666668,#007AC1,OKC,OKC - Oklahoma City Thunder
Orlando Magic,12.888235294117647,4.394117647058823,6.3999999999999995,4.652941176470588,4.841176470588235,7.552941176470589,0.28964705882352937,0.4360588235294118,2.105882352941176,3.829411764705882,0.7189411764705882,1.5941176470588236,4.641176470588236,6.223529411764706,2.682352941176471,1.2941176470588236,0.9176470588235294,1.5647058823529412,#0077C0,ORL,ORL - Orlando Magic
Philadelphia 76ers,14.893333333333334,4.5200000000000005,8.0,5.513333333333334,4.48,7.86,0.30613333333333337,0.5075999999999999,2.36,3.2199999999999998,0.7209333333333333,1.54,5.206666666666667,6.739999999999999,3.433333333333333,1.2733333333333334,1.0466666666666666,2.1266666666666665,#006BB6,PHI,PHI - Philadelphia 76ers
Phoenix Suns,14.93125,3.84375,8.6125,5.56875,4.80625,8.2,0.27375,0.512375,2.51875,3.0375,0.7655,1.61875,4.43125,6.04375,3.29375,1.125,0.525,1.71875,#1D1160,PHX,PHX - Phoenix Suns
Portland Trail Blazers,14.106666666666666,4.08,7.6933333333333325,5.22,3.8733333333333335,7.72,0.2906666666666667,0.5011333333333333,2.3,3.3399999999999994,0.7319333333333333,1.9533333333333334,5.66,7.613333333333333,2.3400000000000003,0.9600000000000001,0.7799999999999999,1.96,#E03A3E,POR,POR - Portland Trail Blazers
Sacramento Kings,15.90625,4.499999999999999,9.5,6.24375,5.05625,8.5125,0.2635625,0.5479375,1.91875,2.58125,0.6611875,1.45625,4.35,5.79375,2.94375,1.1125,0.6625,1.7625,#5A2D81,SAC,SAC - Sacramento Kings
San Antonio Spurs,14.825,3.4499999999999997,9.125,5.7125,3.1999999999999997,9.39375,0.2388125,0.47325,2.26875,2.9125,0.6810625,1.7,5.7,7.39375,2.9125,0.775,0.7875,1.7375,#C4CED4,SAS,SAS - San Antonio Spurs
Toronto Raptors,13.858823529411765,4.905882352941177,6.552941176470589,4.917647058823529,5.052941176470589,7.205882352941177,0.29611764705882354,0.4541764705882353,2.394117647058824,3.105882352941176,0.733764705882353,1.776470588235294,5.829411764705882,7.605882352941177,3.211764705882353,1.4058823529411764,0.6294117647058823,1.9,#CE1141,TOR,TOR - Toronto Raptors
Utah Jazz,12.411764705882353,4.305882352941176,6.352941176470587,4.617647058823529,4.152941176470588,6.458823529411765,0.21705882352941175,0.4259411764705882,1.7529411764705882,2.317647058823529,0.5805294117647058,1.5411764705882351,6.364705882352942,7.911764705882353,2.9529411764705884,0.7000000000000001,0.9058823529411765,2.376470588235294,#002B5C,UTA,UTA - Utah Jazz
Washington Wizards,14.8875,4.2562500000000005,8.162500000000001,5.5125,4.13125,7.3875,0.2895625,0.5514375,2.48125,3.25625,0.727375,1.8625,5.1375,7.0,3.2375,1.1375,0.74375,1.85625,#002B5C,WAS,WAS - Washington Wizards
